Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       22.05.25
Time:       21:12
Revision:   Not in VersionControl
Variant:    Standard
Units used: mm

Designator Comment                                                              Layer       Footprint                             Center-X(mm) Center-Y(mm) Rotation Description                                                                                             "Manufacturer 1"                           "Manufacturer 1 Prt. Nr." "Manufacturer 2"            "Manufacturer 2 Prt. Nr." 
C411       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       101.9914     190.3504     90       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C410       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       92.7000      190.3500     45       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C409       "220nF 50V"                                                          TopLayer    CAP_0603                              102.2850     207.6250     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.22 uF 50 VDC 10% 0603 X7R"                              "Murata Electronics"                       GRJ188R71H224KE11D        TDK                         CGA3E3X7R1H224K080AE      
C407       "47µF 10V"                                                           BottomLayer CAP_1210                              97.5000      197.4500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C406       "47µF 10V"                                                           BottomLayer CAP_1210                              100.5000     197.4500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C405       "47µF 10V"                                                           BottomLayer CAP_1210                              103.5000     197.4500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C404       "2.2µF 16V"                                                          TopLayer    CAP_0603                              103.9000     201.0500     90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X7R"                               "Murata Electronics"                       GRM188Z71C225KE43D        "TAIYO YUDEN"               EMK107BB7225KA-T          
C401       "47µF 10V"                                                           TopLayer    CAP_1210                              97.5000      197.4500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C400       "47µF 10V"                                                           TopLayer    CAP_1210                              100.5000     197.4500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C399       "47µF 10V"                                                           TopLayer    CAP_1210                              103.5000     197.4500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C398       "100nF 50V"                                                          TopLayer    CAP_0402                              105.5500     198.6000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C397       "100nF 50V"                                                          TopLayer    CAP_0402                              109.1500     203.9500     270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C396       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    93.6822      210.0678     315      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
C395       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    110.3178     210.0678     225      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
C394       "1µF 50V"                                                            TopLayer    CAP_0603                              105.6000     204.8000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C393       "1µF 50V"                                                            BottomLayer CAP_0603                              103.4000     203.0000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C392       "1µF 50V"                                                            BottomLayer CAP_0603                              102.0000     203.0000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C391       "1µF 50V"                                                            TopLayer    CAP_0603                              99.8000      203.0000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C390       "22µF 25V"                                                           TopLayer    CAP_1210                              97.5000      202.1000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C389       "22µF 25V"                                                           TopLayer    CAP_1210                              94.5000      202.1000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C388       "22µF 25V"                                                           BottomLayer CAP_1210                              97.5000      202.1000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C387       "22µF 25V"                                                           BottomLayer CAP_1210                              94.5000      202.1000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C385       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       97.0320      222.1500     135      "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C384       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       87.7414      222.1504     90       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C383       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       78.4500      222.1500     45       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C380       "47µF 10V"                                                           BottomLayer CAP_1210                              83.2500      229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C379       "47µF 10V"                                                           BottomLayer CAP_1210                              86.2500      229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C378       "47µF 10V"                                                           BottomLayer CAP_1210                              89.2500      229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C377       "2.2µF 16V"                                                          TopLayer    CAP_0603                              89.6500      232.8500     90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X7R"                               "Murata Electronics"                       GRM188Z71C225KE43D        "TAIYO YUDEN"               EMK107BB7225KA-T          
C375       "47µF 10V"                                                           TopLayer    CAP_1210                              80.2500      229.2500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C374       "47µF 10V"                                                           TopLayer    CAP_1210                              83.2500      229.2500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C373       "47µF 10V"                                                           TopLayer    CAP_1210                              86.2500      229.2500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C372       "47µF 10V"                                                           TopLayer    CAP_1210                              89.2500      229.2500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C371       "100nF 50V"                                                          TopLayer    CAP_0402                              91.3000      230.4000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C370       "100nF 50V"                                                          TopLayer    CAP_0402                              94.9000      235.7500     270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C369       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    79.4322      241.8678     315      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
C368       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    96.0678      241.8678     225      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
C367       "1µF 50V"                                                            TopLayer    CAP_0603                              91.3500      236.6000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C366       "1µF 50V"                                                            BottomLayer CAP_0603                              89.1000      234.8000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C365       "1µF 50V"                                                            BottomLayer CAP_0603                              87.7500      234.8000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C364       "1µF 50V"                                                            TopLayer    CAP_0603                              85.5500      234.8000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C363       "22µF 25V"                                                           TopLayer    CAP_1210                              83.2500      233.9000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C362       "22µF 25V"                                                           TopLayer    CAP_1210                              80.2500      233.9000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C361       "22µF 25V"                                                           BottomLayer CAP_1210                              83.2500      233.9000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C360       "22µF 25V"                                                           BottomLayer CAP_1210                              80.2500      233.9000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C358       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       82.7820      190.3500     135      "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C357       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       73.4914      190.3504     90       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C356       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       64.2000      190.3500     45       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C355       "220nF 50V"                                                          TopLayer    CAP_0603                              73.7850      207.6250     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.22 uF 50 VDC 10% 0603 X7R"                              "Murata Electronics"                       GRJ188R71H224KE11D        TDK                         CGA3E3X7R1H224K080AE      
C354       "47µF 10V"                                                           BottomLayer CAP_1210                              66.0000      197.4500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C353       "47µF 10V"                                                           BottomLayer CAP_1210                              69.0000      197.4500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C352       "47µF 10V"                                                           BottomLayer CAP_1210                              72.0000      197.4500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C351       "47µF 10V"                                                           BottomLayer CAP_1210                              75.0000      197.4500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C350       "2.2µF 16V"                                                          TopLayer    CAP_0603                              75.4000      201.0500     90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X7R"                               "Murata Electronics"                       GRM188Z71C225KE43D        "TAIYO YUDEN"               EMK107BB7225KA-T          
C348       "47µF 10V"                                                           TopLayer    CAP_1210                              66.0000      197.4500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C346       "47µF 10V"                                                           TopLayer    CAP_1210                              72.0000      197.4500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C345       "47µF 10V"                                                           TopLayer    CAP_1210                              75.0000      197.4500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C344       "100nF 50V"                                                          TopLayer    CAP_0402                              77.0500      198.6000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C343       "100nF 50V"                                                          TopLayer    CAP_0402                              80.6500      203.9500     270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C342       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    65.1823      210.0678     315      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
C341       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    81.8178      210.0678     225      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
C340       "1µF 50V"                                                            TopLayer    CAP_0603                              77.1000      204.8000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C339       "1µF 50V"                                                            BottomLayer CAP_0603                              74.8500      203.0000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C338       "1µF 50V"                                                            BottomLayer CAP_0603                              73.5000      203.0000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C337       "1µF 50V"                                                            TopLayer    CAP_0603                              71.3000      203.0000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C336       "22µF 25V"                                                           TopLayer    CAP_1210                              69.0000      202.1000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C335       "22µF 25V"                                                           TopLayer    CAP_1210                              66.0000      202.1000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C334       "22µF 25V"                                                           BottomLayer CAP_1210                              69.0000      202.1000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C333       "22µF 25V"                                                           BottomLayer CAP_1210                              66.0000      202.1000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C331       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       154.0319     222.1500     135      "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C330       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       144.7414     222.1504     90       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C329       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       135.4500     222.1500     45       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C328       "220nF 50V"                                                          TopLayer    CAP_0603                              145.0350     239.4250     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.22 uF 50 VDC 10% 0603 X7R"                              "Murata Electronics"                       GRJ188R71H224KE11D        TDK                         CGA3E3X7R1H224K080AE      
C327       "47µF 10V"                                                           BottomLayer CAP_1210                              137.2500     229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C326       "47µF 10V"                                                           BottomLayer CAP_1210                              140.2500     229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C325       "47µF 10V"                                                           BottomLayer CAP_1210                              143.2500     229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C324       "47µF 10V"                                                           BottomLayer CAP_1210                              146.2500     229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C323       "2.2µF 16V"                                                          TopLayer    CAP_0603                              146.6500     232.8500     90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X7R"                               "Murata Electronics"                       GRM188Z71C225KE43D        "TAIYO YUDEN"               EMK107BB7225KA-T          
C321       "47µF 10V"                                                           TopLayer    CAP_1210                              137.2500     229.2500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C320       "47µF 10V"                                                           TopLayer    CAP_1210                              140.2500     229.2500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C319       "47µF 10V"                                                           TopLayer    CAP_1210                              143.2500     229.2500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C318       "47µF 10V"                                                           TopLayer    CAP_1210                              146.2500     229.2500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C317       "100nF 50V"                                                          TopLayer    CAP_0402                              148.3000     230.4000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C316       "100nF 50V"                                                          TopLayer    CAP_0402                              151.9000     235.7500     270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C315       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    136.4322     241.8678     315      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
C314       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    153.0677     241.8678     225      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
C313       "1µF 50V"                                                            TopLayer    CAP_0603                              148.3500     236.6000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C312       "1µF 50V"                                                            BottomLayer CAP_0603                              146.1000     234.8000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C311       "1µF 50V"                                                            BottomLayer CAP_0603                              144.7500     234.8000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C310       "1µF 50V"                                                            TopLayer    CAP_0603                              142.5500     234.8000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
C309       "22µF 25V"                                                           TopLayer    CAP_1210                              140.2500     233.9000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C308       "22µF 25V"                                                           TopLayer    CAP_1210                              137.2500     233.9000     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C307       "22µF 25V"                                                           BottomLayer CAP_1210                              140.2500     233.9000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C306       "22µF 25V"                                                           BottomLayer CAP_1210                              137.2500     233.9000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C304       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       68.5320      222.1500     135      "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C303       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       59.2414      222.1504     90       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C302       "470µF 16V"                                                          TopLayer    WCAP-PTG5_D8H13                       49.9500      222.1500     45       "Organische Polymer-Aluminiumkondensatoren 470uF 16 Volts 20%"                                          "Würth Elektronik"                         870025374007              ""                          ""                        
C301       "220nF 50V"                                                          TopLayer    CAP_0603                              59.5350      239.4250     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.22 uF 50 VDC 10% 0603 X7R"                              "Murata Electronics"                       GRJ188R71H224KE11D        TDK                         CGA3E3X7R1H224K080AE      
C300       "47µF 10V"                                                           BottomLayer CAP_1210                              51.7500      229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C299       "47µF 10V"                                                           BottomLayer CAP_1210                              54.7500      229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C298       "47µF 10V"                                                           BottomLayer CAP_1210                              57.7500      229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C297       "47µF 10V"                                                           BottomLayer CAP_1210                              60.7500      229.2500     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C296       "2.2µF 16V"                                                          TopLayer    CAP_0603                              61.1500      232.8500     90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X7R"                               "Murata Electronics"                       GRM188Z71C225KE43D        "TAIYO YUDEN"               EMK107BB7225KA-T          
C294       "47µF 10V"                                                           TopLayer    CAP_1210                              51.7500      229.2500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
